document_id,file_name,document_type,scenario_type,language,source_system,responsible_owner,owner_email,data_source,file_created_date,last_modified_date,dataset_created_at,file_size_mb,full_text,contains_personal_data,PERSON_yes_no,EMAIL_ADDRESS_yes_no,PHONE_NUMBER_yes_no,LOCATION_yes_no,IBAN_CODE_yes_no,CREDIT_CARD_yes_no,PASSPORT_yes_no,NRP_yes_no,DATE_TIME_yes_no,IP_ADDRESS_yes_no,URL_yes_no,MEDICAL_LICENSE_yes_no,personal_data_categories,primary_pii_type,category_count,pii_count,difficulty,edge_case,challenge_category,retention_period_exceeded_3y,recommended_split,synthetic,synthetic_generator,generation_prompt_version,human_reviewed,review_status,review_notes,dataset_version,labeling_notes,entities,per_type_conf,detected_categories,strong_pii_categories,potential_pii_categories,detected_pii,detected_any_pii,has_person_hint,route,routing_reason,needs_llm_review,llm_provider,llm_model_id,llm_model_name,llm_pii,llm_reason,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_reasoning_tokens,llm_cached_tokens,llm_request_cost,llm_request_success,final_pii,predicted_pii,run_id,strategy,provider,model_family,model_name,prompt_version,prediction_source,_ground_truth_bool,_prediction_bool,error_type,is_correct,evaluated_ground_truth_col,evaluated_prediction_col
SYN-CUSTOMER_SUPPORT-0026,synthetic_customer_support_0026.txt,support_ticket,customer_support,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Kundensupport

Ticketnummer: REF-8389765
Betreff: Dringende Eskalation des Tickets REF-8389765 aufgrund wiederholter Probleme
Kunde: Firmenkunde
Kontakt: Abteilungskontakt
Beschreibung: Das Ticket REF-8389765 wurde zur Eskalation an die Abteilung für technische Unterstützung weitergeleitet, da der Firmenkunde anhaltende Schwierigkeiten mit unserem Produkt meldet. Emma Killer MBA. hat die Situation eingehend untersucht und festgestellt, dass die Probleme die Betriebsabläufe des Kunden erheblich beeinträchtigen, was zu potenziellen finanziellen Einbußen führt. Es sind bereits mehrere Rückmeldungen vom Kunden eingegangen, die auf eine Unzufriedenheit mit der bisherigen Lösungsfindung hinweisen.
Bearbeiter: Emma Killer MBA.
Status: Open
Lösung: Um dieses Problem effizient zu lösen, wird empfohlen, dass Emma Killer MBA. ein dringendes Treffen mit dem technischen Support-Team einberuft, um die notwendigen Ressourcen für die sofortige Behebung der Probleme bereitzustellen. Darüber hinaus sollte eine kontinuierliche Kommunikation mit dem Firmenkunden gewährleistet werden, um ihn über den Fortschritt der Lösung auf dem Laufenden zu halten.",yes,yes,no,no,no,no,no,no,no,no,no,no,no,PERSON,PERSON,1,1,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,[],{},[],[],[],False,False,False,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-EMPLOYEE_RECORD-0015,synthetic_employee_record_0015.txt,hr_record,employee_record,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Mitarbeiterakte

Mitarbeiter: Necati Killer
Abteilung: IT
Rolle: Manager
Mitarbeiternummer: REF-9868394
Vorgesetzter: Abteilungsleitung
Eintrittsdatum: 2025-03-08
Adresse: Alwine-Kabus-Allee 3, 73478 Sonneberg
Nationalität: Nationalität nicht angegeben
Kontakt: Abteilungskontakt
Notizen: Necati Killer wird ab dem 08. März 2025 die Position des Managers in der IT-Abteilung übernehmen. Der Arbeitsplatz befindet sich in der Alwine-Kabus-Allee 3, 73478 Sonneberg. Weitere Informationen zur Einarbeitung werden zeitnah bereitgestellt.
Lizenznummer: REF-1774088
Ausweisnummer: REF-8965876",yes,yes,no,no,yes,no,no,no,no,no,no,no,no,PERSON; LOCATION,MULTIPLE,2,2,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Alwine-Kabus-Allee', 'confidence': 0.85, 'source': 'presidio', 'start': 172, 'end': 190}, {'type': 'LOCATION', 'value': '73478 Sonneberg', 'confidence': 0.85, 'source': 'presidio', 'start': 194, 'end': 209}, {'type': 'LOCATION', 'value': 'Alwine-Kabus-Allee 3', 'confidence': 0.85, 'source': 'presidio', 'start': 425, 'end': 445}, {'type': 'LOCATION', 'value': '73478 Sonneberg', 'confidence': 0.85, 'source': 'presidio', 'start': 447, 'end': 462}, {'type': 'DATE_TIME', 'value': '2025-03-08', 'confidence': 0.6, 'source': 'presidio', 'start': 152, 'end': 162}]","{'LOCATION': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION']",[],[],False,False,True,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0054,synthetic_incident_report_0054.txt,report,incident_report,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Vorfallsbericht

Datum: 2024-04-10
Ort: Abdul-Oestrovsky-Platz 578, 24074 Wolfratshausen
Typ: Equipment Failure
Beschreibung: Am 10. April 2024 kam es in der Einrichtung am Abdul-Oestrovsky-Platz 578, 24074 Wolfratshausen zu einem bedeutenden Ausfall eines wichtigen Gerätes, das für die Aufrechterhaltung der Betriebsabläufe notwendig ist. Der Vorfall führte zu einer Unterbrechung der Dienstleistung, wodurch die Effizienz der Betriebseinheit stark beeinträchtigt wurde. Techniker waren sofort vor Ort, um die Situation zu beurteilen und den Grad des Schadens festzustellen, wobei sie feststellten, dass das Gerät aufgrund eines internen mechanischen Versagens nicht funktionstüchtig war.
Ursache: Die Ursachenanalyse ergab, dass das mechanische Versagen auf einen nicht rechtzeitig durchgeführten Wartungsprozess zurückzuführen war. Insbesondere wurde festgestellt, dass die regelmäßige Inspektion und Wartung der Geräteteile, die für die ordnungsgemäße Funktion unerlässlich sind, versäumt wurde. Unzureichende Dokumentation und Nachverfolgung der Wartungsintervalle haben zu diesem Vorfall beigetragen.
Maßnahme: Um zukünftige Vorfälle dieser Art zu verhindern, wurde ein umfassender Plan zur Überarbeitung der Wartungsverfahren implementiert. Dies umfasst die Einführung eines neuen digitalen Wartungsmanagementsystems, das sicherstellt, dass alle Wartungsarbeiten rechtzeitig durchgeführt und dokumentiert werden. Außerdem werden Schulungen für das Facility Management-Team am Abdul-Oestrovsky-Platz 578, 24074 Wolfratshausen organisiert, um das Bewusstsein für die Bedeutung der regelmäßigen Wartung zu schärfen und sicherzustellen, dass alle Mitarbeiter mit den neuen Verfahren vertraut sind.
Verantwortlich: Facility Management
Frist: 2025-03-01",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,validation,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Abdul-Oestrovsky-Platz', 'confidence': 0.85, 'source': 'presidio', 'start': 40, 'end': 62}, {'type': 'LOCATION', 'value': 'Wolfratshausen', 'confidence': 0.85, 'source': 'presidio', 'start': 74, 'end': 88}, {'type': 'LOCATION', 'value': 'Wolfratshausen', 'confidence': 0.85, 'source': 'presidio', 'start': 207, 'end': 221}, {'type': 'LOCATION', 'value': 'Wolfratshausen', 'confidence': 0.85, 'source': 'presidio', 'start': 1518, 'end': 1532}, {'type': 'DATE_TIME', 'value': '2024-04-10', 'confidence': 0.6, 'source': 'presidio', 'start': 24, 'end': 34}]","{'LOCATION': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION']",[],[],False,False,True,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0078,synthetic_incident_report_0078.txt,report,incident_report,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Incident Report

Date: 2026-08-03
Location: 28913 Thompson Prairie Suite 017, South Joycefurt, AZ 58237
Type: Equipment Failure
Description: On August 3, 2026, an equipment failure was reported at 28913 Thompson Prairie Suite 017, South Joycefurt, AZ 58237, leading to a significant disruption in operations. The incident involved a malfunction of the primary server, which resulted in the inability to access critical data and services for approximately four hours. This incident raised serious concerns regarding data integrity and availability, prompting immediate investigation by the Security Team.
Root Cause: The investigation revealed that the root cause of the equipment failure was a combination of outdated hardware components and inadequate preventive maintenance. Specifically, the server's power supply unit had exceeded its operational lifespan, which was not identified during routine checks. Additionally, the monitoring system failed to alert the team about the declining performance of the hardware, contributing to the unexpected failure.
Corrective Action: To remediate the situation, the Security Team has implemented a comprehensive action plan that includes the immediate replacement of the faulty power supply unit and an upgrade of the server hardware to ensure better reliability. Furthermore, a new preventive maintenance schedule has been established, incorporating regular performance assessments and alerts to detect potential failures early. Training sessions for the technical staff on the new monitoring system will also be conducted to enhance response capabilities for future incidents.
Owner: Security Team
Deadline: 2024-09-30",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,test,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'DATE_TIME', 'value': '2026-08-03', 'confidence': 0.95, 'source': 'presidio', 'start': 23, 'end': 33}, {'type': 'LOCATION', 'value': 'South Joycefurt', 'confidence': 0.85, 'source': 'presidio', 'start': 78, 'end': 93}, {'type': 'DATE_TIME', 'value': 'August 3, 2026', 'confidence': 0.85, 'source': 'presidio', 'start': 144, 'end': 158}, {'type': 'LOCATION', 'value': 'South Joycefurt', 'confidence': 0.85, 'source': 'presidio', 'start': 231, 'end': 246}, {'type': 'DATE_TIME', 'value': 'approximately four hours', 'confidence': 0.85, 'source': 'presidio', 'start': 441, 'end': 465}]","{'DATE_TIME': 0.95, 'LOCATION': 0.85}","['DATE_TIME', 'LOCATION']",[],[],False,False,False,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0097,synthetic_incident_report_0097.txt,report,incident_report,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Vorfallsbericht

Datum: 2024-09-22
Ort: Hans-Friedrich-Steinberg-Straße 7/4, 45075 Dresden
Typ: Operational Incident
Beschreibung: Am 22. September 2024 wurde ein Ausfall des internen Kommunikationssystems festgestellt, der die Produktivität der Mitarbeiter beeinträchtigte. Der Vorfall betraf alle Nutzer am Standort Hans-Friedrich-Steinberg-Straße 7/4, 45075 Dresden.
Ursache: Die Ursache für den Vorfall war ein unerwarteter Hardwarefehler im Serverraum, der die Netzwerkverbindung unterbrach.
Maßnahme: Die fehlerhafte Hardware wurde umgehend ersetzt und zusätzliche Überprüfungen der Systeme werden regelmäßig durchgeführt, um zukünftige Ausfälle zu vermeiden.
Verantwortlich: IT Operations
Frist: 2027-02-04",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Dresden', 'confidence': 0.85, 'source': 'presidio', 'start': 83, 'end': 90}, {'type': 'LOCATION', 'value': 'Hans-Friedrich-Steinberg-Straße 7/4', 'confidence': 0.85, 'source': 'presidio', 'start': 318, 'end': 353}, {'type': 'LOCATION', 'value': 'Dresden', 'confidence': 0.85, 'source': 'presidio', 'start': 361, 'end': 368}, {'type': 'DATE_TIME', 'value': '2024-09-22', 'confidence': 0.6, 'source': 'presidio', 'start': 24, 'end': 34}]","{'LOCATION': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION']",[],[],False,False,True,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0107,synthetic_incident_report_0107.txt,report,incident_report,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Vorfallsbericht

Datum: 2025-07-19
Ort: Löchelweg 308, 31722 Arnstadt
Typ: Service Disruption
Beschreibung: Am 19. Juli 2025 kam es in der Einrichtung am Löchelweg 308, 31722 Arnstadt zu einer unerwarteten Serviceunterbrechung, die die Betriebsabläufe erheblich beeinträchtigte. Die Störung betraf mehrere kritische Systeme und führte zu Verzögerungen in der Dienstbereitstellung.
Ursache: Die Untersuchung ergab, dass die Serviceunterbrechung durch einen unerwarteten Hardwareausfall in einem zentralen Server verursacht wurde. Das betroffene Gerät war nicht ordnungsgemäß gewartet, was zu einem plötzlichen Ausfall führte.
Maßnahme: Um zukünftige Vorfälle zu vermeiden, wurde ein regelmäßiges Wartungsprogramm für alle zentralen Server implementiert. Zusätzlich wurden redundante Systeme installiert, um die Ausfallzeiten zu minimieren und die Betriebsbereitschaft zu gewährleisten.
Verantwortlich: Security Team
Frist: 2027-08-13",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Löchelweg', 'confidence': 0.85, 'source': 'presidio', 'start': 40, 'end': 49}, {'type': 'LOCATION', 'value': 'Arnstadt', 'confidence': 0.85, 'source': 'presidio', 'start': 61, 'end': 69}, {'type': 'LOCATION', 'value': 'Löchelweg', 'confidence': 0.85, 'source': 'presidio', 'start': 154, 'end': 163}, {'type': 'LOCATION', 'value': 'Arnstadt', 'confidence': 0.85, 'source': 'presidio', 'start': 175, 'end': 183}, {'type': 'DATE_TIME', 'value': '2025-07-19', 'confidence': 0.6, 'source': 'presidio', 'start': 24, 'end': 34}]","{'LOCATION': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION']",[],[],False,False,False,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0110,synthetic_incident_report_0110.txt,report,incident_report,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Incident Report

Date: 2027-03-03
Location: 99519 Bauer Roads, Larsonmouth, KY 57715
Type: IT Security Incident
Description: On March 3, 2027, a security breach occurred at 99519 Bauer Roads, Larsonmouth, KY 57715, resulting in unauthorized access to sensitive data. The incident was detected by the Security Team during routine monitoring.
Root Cause: The breach was traced back to a misconfigured firewall that allowed external access to internal systems. This configuration error was not identified during previous security audits.
Corrective Action: Immediate measures were taken to reconfigure the firewall settings to prevent further unauthorized access. Additionally, a comprehensive review of all security configurations will be completed by the deadline of 2026-06-11 to ensure compliance with security standards.
Owner: Security Team
Deadline: 2026-06-11",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'DATE_TIME', 'value': '2027-03-03', 'confidence': 0.95, 'source': 'presidio', 'start': 23, 'end': 33}, {'type': 'PERSON', 'value': 'Bauer Roads', 'confidence': 0.85, 'source': 'presidio', 'start': 50, 'end': 61}, {'type': 'LOCATION', 'value': 'Larsonmouth', 'confidence': 0.85, 'source': 'presidio', 'start': 63, 'end': 74}, {'type': 'DATE_TIME', 'value': 'March 3, 2027', 'confidence': 0.85, 'source': 'presidio', 'start': 128, 'end': 141}, {'type': 'DATE_TIME', 'value': '99519', 'confidence': 0.85, 'source': 'presidio', 'start': 173, 'end': 178}, {'type': 'LOCATION', 'value': 'Larsonmouth', 'confidence': 0.85, 'source': 'presidio', 'start': 192, 'end': 203}]","{'DATE_TIME': 0.95, 'PERSON': 0.85, 'LOCATION': 0.85}","['DATE_TIME', 'LOCATION', 'PERSON']",[],"['DATE_TIME', 'PERSON', 'LOCATION']",False,True,False,low_cost_llm,potential_pii_evidence,True,dashscope,qwen3_7_plus,qwen3.7-plus,False,"The text contains only generic incident details, dates, and a location without linking them to any identified or identifiable natural person.",535,42,577,0,0,0.0,True,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INCIDENT_REPORT-0218,synthetic_incident_report_0218.txt,report,incident_report,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Incident Report

Date: 2024-08-26
Location: 48139 Erin Haven Apt. 548, Lake Jonathanburgh, AR 89639
Type: Equipment Failure
Description: On 2024-08-26, a critical equipment failure occurred at 48139 Erin Haven Apt. 548, Lake Jonathanburgh, AR 89639, resulting in a system outage that affected multiple users across the organization.
Root Cause: The incident was traced back to an overheating component within the server that had not been properly maintained, leading to its unexpected failure.
Corrective Action: Immediate measures were taken to replace the faulty component, and a scheduled maintenance plan will be implemented to regularly check and service all critical equipment to prevent future incidents.
Owner: IT Operations
Deadline: 2025-02-18",yes,no,no,no,yes,no,no,no,no,yes,no,no,no,LOCATION; DATE_TIME,MULTIPLE,2,2,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'DATE_TIME', 'value': '2024-08-26', 'confidence': 0.95, 'source': 'presidio', 'start': 23, 'end': 33}, {'type': 'LOCATION', 'value': 'Lake Jonathanburgh', 'confidence': 0.85, 'source': 'presidio', 'start': 71, 'end': 89}, {'type': 'DATE_TIME', 'value': '2024-08-26', 'confidence': 0.85, 'source': 'presidio', 'start': 140, 'end': 150}, {'type': 'LOCATION', 'value': 'Lake Jonathanburgh', 'confidence': 0.85, 'source': 'presidio', 'start': 220, 'end': 238}]","{'DATE_TIME': 0.95, 'LOCATION': 0.85}","['DATE_TIME', 'LOCATION']",[],[],False,False,False,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INTERNAL_EMAIL-0126,synthetic_internal_email_0126.txt,email,internal_email,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Subject: RE: Upcoming System Maintenance

Hi Team,

Thank you for your patience as we prepare for the upcoming system maintenance scheduled for next week. As a reminder, this maintenance is crucial for enhancing our system performance and security.

Please note that during this time, you may experience intermittent access issues. We expect the maintenance to begin on November 21, 2024, and should take approximately 4 hours. If you have any critical tasks planned during that window, please make sure to complete them beforehand.

For any urgent concerns, you can reach me at +1-805-872-3511x96849. 

Best regards,

[Your Name]  
IT Operations Team",yes,no,no,yes,no,no,no,no,no,no,no,no,no,PHONE_NUMBER,PHONE_NUMBER,1,1,easy,no,none,no,train,yes,openrouter_gpt4o_mini_document,llm_rewrite_v1,no,,,v2,Synthetic document generated for controlled PII training data.,[],{},[],[],[],False,False,True,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
SYN-INTERNAL_EMAIL-0163,synthetic_internal_email_0163.txt,email,internal_email,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Subject: Re: Workshop Preparation

Hi Team,

Thank you all for your input regarding the upcoming workshop. I just wanted to circle back on a few key points as we finalize our preparations.

First, please ensure that your materials are ready by the end of this week. This will give us enough time to review and integrate everyone's contributions effectively. Remember, our focus this time is on enhancing our collaboration strategies, so any examples or case studies you can share will be particularly valuable.

Additionally, if anyone has suggestions for activities or discussions that could facilitate better engagement, please share them by Wednesday. We want to make this workshop not only informative but also interactive.

Looking forward to your thoughts!

Best,  
Project Office  
6756774978",yes,no,no,yes,no,no,no,no,no,no,no,no,no,PHONE_NUMBER,PHONE_NUMBER,1,1,easy,no,none,no,train,yes,openrouter_gpt4o_mini_document,llm_rewrite_v1,no,,,v2,Synthetic document generated for controlled PII training data.,[],{},[],[],[],False,False,False,local_non_pii,no_meaningful_signal,False,dashscope,qwen3_7_plus,qwen3.7-plus,False,,0,0,0,0,0,0.0,False,False,False,20260904_170911,rule_plus_qwen,dashscope,llm,qwen3.7-plus,pii_review_v1,llm,True,False,false_negative,False,contains_personal_data,predicted_pii
