document_id,scenario_type,variant,language,contains_personal_data,entity_types,recommended_split,difficulty,edge_case,challenge_category,scenario_seed,row_seed
SYN-CONTRACT-0001,contract,contract_excerpt,en,no,,train,easy,False,none,42,420001
SYN-CONTRACT-0002,contract,amendment,de,no,,validation,easy,False,none,42,420002
SYN-CONTRACT-0003,contract,amendment,de,no,,train,easy,False,none,42,420003
SYN-CONTRACT-0004,contract,contract_excerpt,en,no,,train,easy,False,none,42,420004
SYN-CONTRACT-0005,contract,amendment,en,no,,train,easy,False,none,42,420005
SYN-CONTRACT-0006,contract,signature_section,de,no,,train,easy,False,none,42,420006
SYN-CONTRACT-0007,contract,signature_section,en,no,,train,easy,False,none,42,420007
SYN-CONTRACT-0008,contract,contract_excerpt,de,no,,train,easy,False,none,42,420008
SYN-CONTRACT-0009,contract,contract_excerpt,en,yes,PERSON;DATE_TIME,test,easy,False,none,42,420009
SYN-CONTRACT-0010,contract,contract_excerpt,de,no,,train,easy,False,none,42,420010
SYN-CONTRACT-0011,contract,contract_excerpt,en,no,,train,easy,False,none,42,420011
SYN-CONTRACT-0012,contract,amendment,de,no,,train,easy,False,none,42,420012
SYN-CONTRACT-0013,contract,signature_section,de,no,,train,easy,False,none,42,420013
SYN-CONTRACT-0014,contract,signature_section,en,no,,train,easy,False,none,42,420014
SYN-CONTRACT-0015,contract,signature_section,en,no,,train,easy,False,none,42,420015
SYN-CONTRACT-0016,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420016
SYN-CONTRACT-0017,contract,contract_excerpt,de,no,,validation,easy,False,none,42,420017
SYN-CONTRACT-0018,contract,contract_excerpt,en,no,,train,easy,False,none,42,420018
SYN-CONTRACT-0019,contract,amendment,de,yes,PERSON;EMAIL_ADDRESS,train,easy,False,none,42,420019
SYN-CONTRACT-0020,contract,signature_section,de,no,,train,easy,False,none,42,420020
SYN-CONTRACT-0021,contract,amendment,en,no,,test,easy,False,none,42,420021
SYN-CONTRACT-0022,contract,signature_section,en,no,,train,easy,False,none,42,420022
SYN-CONTRACT-0023,contract,contract_excerpt,de,no,,validation,easy,False,none,42,420023
SYN-CONTRACT-0024,contract,contract_excerpt,de,yes,PERSON;EMAIL_ADDRESS,validation,easy,False,none,42,420024
SYN-CONTRACT-0025,contract,amendment,en,no,,train,easy,False,none,42,420025
SYN-CONTRACT-0026,contract,signature_section,de,no,,train,easy,False,none,42,420026
SYN-CONTRACT-0027,contract,contract_excerpt,de,yes,PERSON;EMAIL_ADDRESS,train,easy,False,none,42,420027
SYN-CONTRACT-0028,contract,signature_section,en,no,,train,easy,False,none,42,420028
SYN-CONTRACT-0029,contract,contract_excerpt,en,no,,train,easy,False,none,42,420029
SYN-CONTRACT-0030,contract,contract_excerpt,de,no,,train,easy,False,none,42,420030
SYN-CONTRACT-0031,contract,contract_excerpt,de,no,,train,easy,False,none,42,420031
SYN-CONTRACT-0032,contract,signature_section,de,no,,train,easy,False,none,42,420032
SYN-CONTRACT-0033,contract,contract_excerpt,en,no,,train,easy,False,none,42,420033
SYN-CONTRACT-0034,contract,amendment,de,no,,train,easy,False,none,42,420034
SYN-CONTRACT-0035,contract,contract_excerpt,en,no,,train,easy,False,none,42,420035
SYN-CONTRACT-0036,contract,signature_section,en,no,,train,easy,False,none,42,420036
SYN-CONTRACT-0037,contract,contract_excerpt,de,no,,test,easy,False,none,42,420037
SYN-CONTRACT-0038,contract,signature_section,en,no,,test,easy,False,none,42,420038
SYN-CONTRACT-0039,contract,signature_section,en,no,,test,easy,False,none,42,420039
SYN-CONTRACT-0040,contract,signature_section,de,yes,PERSON;DATE_TIME,train,easy,False,none,42,420040
SYN-CONTRACT-0041,contract,signature_section,en,no,,validation,easy,False,none,42,420041
SYN-CONTRACT-0042,contract,contract_excerpt,de,no,,train,easy,False,none,42,420042
SYN-CONTRACT-0043,contract,amendment,en,no,,train,easy,False,none,42,420043
SYN-CONTRACT-0044,contract,signature_section,en,no,,train,easy,False,none,42,420044
SYN-CONTRACT-0045,contract,amendment,de,no,,test,easy,False,none,42,420045
SYN-CONTRACT-0046,contract,contract_excerpt,de,no,,train,easy,False,none,42,420046
SYN-CONTRACT-0047,contract,amendment,en,no,,test,easy,False,none,42,420047
SYN-CONTRACT-0048,contract,signature_section,en,yes,PERSON;LOCATION,train,easy,False,none,42,420048
SYN-CONTRACT-0049,contract,amendment,en,no,,train,easy,False,none,42,420049
SYN-CONTRACT-0050,contract,signature_section,de,no,,train,easy,False,none,42,420050
SYN-CONTRACT-0051,contract,signature_section,de,no,,train,easy,False,none,42,420051
SYN-CONTRACT-0052,contract,signature_section,de,no,,train,easy,False,none,42,420052
SYN-CONTRACT-0053,contract,signature_section,de,no,,validation,easy,False,none,42,420053
SYN-CONTRACT-0054,contract,amendment,de,no,,train,easy,False,none,42,420054
SYN-CONTRACT-0055,contract,amendment,de,no,,train,easy,False,none,42,420055
SYN-CONTRACT-0056,contract,amendment,en,no,,train,easy,False,none,42,420056
SYN-CONTRACT-0057,contract,contract_excerpt,en,no,,test,easy,False,none,42,420057
SYN-CONTRACT-0058,contract,amendment,en,no,,train,easy,False,none,42,420058
SYN-CONTRACT-0059,contract,contract_excerpt,de,no,,test,easy,False,none,42,420059
SYN-CONTRACT-0060,contract,amendment,en,no,,train,easy,False,none,42,420060
SYN-CONTRACT-0061,contract,contract_excerpt,de,no,,train,easy,False,none,42,420061
SYN-CONTRACT-0062,contract,contract_excerpt,de,no,,test,easy,False,none,42,420062
SYN-CONTRACT-0063,contract,amendment,de,no,,train,easy,False,none,42,420063
SYN-CONTRACT-0064,contract,contract_excerpt,de,no,,train,easy,False,none,42,420064
SYN-CONTRACT-0065,contract,amendment,en,no,,train,easy,False,none,42,420065
SYN-CONTRACT-0066,contract,amendment,de,no,,train,easy,False,none,42,420066
SYN-CONTRACT-0067,contract,amendment,en,no,,validation,easy,False,none,42,420067
SYN-CONTRACT-0068,contract,amendment,en,no,,train,easy,False,none,42,420068
SYN-CONTRACT-0069,contract,amendment,en,yes,PERSON,train,easy,False,none,42,420069
SYN-CONTRACT-0070,contract,signature_section,en,no,,validation,easy,False,none,42,420070
SYN-CONTRACT-0071,contract,amendment,en,no,,validation,easy,False,none,42,420071
SYN-CONTRACT-0072,contract,contract_excerpt,en,yes,PERSON;DATE_TIME,train,easy,False,none,42,420072
SYN-CONTRACT-0073,contract,signature_section,de,no,,train,easy,False,none,42,420073
SYN-CONTRACT-0074,contract,signature_section,en,yes,PERSON,train,easy,False,none,42,420074
SYN-CONTRACT-0075,contract,contract_excerpt,de,no,,validation,easy,False,none,42,420075
SYN-CONTRACT-0076,contract,signature_section,en,no,,validation,easy,False,none,42,420076
SYN-CONTRACT-0077,contract,contract_excerpt,en,no,,train,easy,False,none,42,420077
SYN-CONTRACT-0078,contract,signature_section,en,yes,PERSON,validation,easy,False,none,42,420078
SYN-CONTRACT-0079,contract,amendment,de,no,,validation,easy,False,none,42,420079
SYN-CONTRACT-0080,contract,contract_excerpt,de,yes,PERSON;LOCATION,train,easy,False,none,42,420080
SYN-CONTRACT-0081,contract,signature_section,en,no,,train,easy,False,none,42,420081
SYN-CONTRACT-0082,contract,amendment,en,no,,train,easy,False,none,42,420082
SYN-CONTRACT-0083,contract,amendment,en,no,,train,easy,False,none,42,420083
SYN-CONTRACT-0084,contract,contract_excerpt,de,no,,train,easy,False,none,42,420084
SYN-CONTRACT-0085,contract,contract_excerpt,de,no,,train,easy,False,none,42,420085
SYN-CONTRACT-0086,contract,amendment,en,no,,train,easy,False,none,42,420086
SYN-CONTRACT-0087,contract,contract_excerpt,de,no,,train,easy,False,none,42,420087
SYN-CONTRACT-0088,contract,contract_excerpt,en,no,,train,easy,False,none,42,420088
SYN-CONTRACT-0089,contract,contract_excerpt,de,no,,train,easy,False,none,42,420089
SYN-CONTRACT-0090,contract,contract_excerpt,en,no,,validation,easy,False,none,42,420090
SYN-CONTRACT-0091,contract,signature_section,de,yes,PERSON;LOCATION,test,easy,False,none,42,420091
SYN-CONTRACT-0092,contract,amendment,en,no,,train,easy,False,none,42,420092
SYN-CONTRACT-0093,contract,signature_section,de,no,,train,easy,False,none,42,420093
SYN-CONTRACT-0094,contract,contract_excerpt,en,no,,test,easy,False,none,42,420094
SYN-CONTRACT-0095,contract,signature_section,de,no,,train,easy,False,none,42,420095
SYN-CONTRACT-0096,contract,amendment,en,no,,test,easy,False,none,42,420096
SYN-CONTRACT-0097,contract,signature_section,de,no,,test,easy,False,none,42,420097
SYN-CONTRACT-0098,contract,signature_section,de,no,,test,easy,False,none,42,420098
SYN-CONTRACT-0099,contract,signature_section,de,no,,train,easy,False,none,42,420099
SYN-CONTRACT-0100,contract,signature_section,en,no,,train,easy,False,none,42,420100
SYN-CUSTOMER_SUPPORT-0001,customer_support,escalation_note,en,no,,train,easy,False,none,1042,10420001
SYN-CUSTOMER_SUPPORT-0002,customer_support,portal_ticket,en,yes,URL,train,easy,False,none,1042,10420002
SYN-CUSTOMER_SUPPORT-0003,customer_support,portal_ticket,en,yes,PERSON,train,easy,False,none,1042,10420003
SYN-CUSTOMER_SUPPORT-0004,customer_support,email_ticket,de,no,,train,easy,False,none,1042,10420004
SYN-CUSTOMER_SUPPORT-0005,customer_support,escalation_note,en,no,,train,easy,False,none,1042,10420005
SYN-CUSTOMER_SUPPORT-0006,customer_support,email_ticket,de,no,,train,easy,False,none,1042,10420006
SYN-CUSTOMER_SUPPORT-0007,customer_support,portal_ticket,en,no,,test,easy,False,none,1042,10420007
SYN-CUSTOMER_SUPPORT-0008,customer_support,escalation_note,en,no,,train,easy,False,none,1042,10420008
SYN-CUSTOMER_SUPPORT-0009,customer_support,portal_ticket,en,no,,test,easy,False,none,1042,10420009
SYN-CUSTOMER_SUPPORT-0010,customer_support,email_ticket,en,no,,test,easy,False,none,1042,10420010
SYN-CUSTOMER_SUPPORT-0011,customer_support,portal_ticket,de,no,,test,easy,False,none,1042,10420011
SYN-CUSTOMER_SUPPORT-0012,customer_support,escalation_note,en,no,,validation,easy,False,none,1042,10420012
SYN-CUSTOMER_SUPPORT-0013,customer_support,escalation_note,de,no,,test,easy,False,none,1042,10420013
SYN-CUSTOMER_SUPPORT-0014,customer_support,portal_ticket,de,no,,train,easy,False,none,1042,10420014
SYN-CUSTOMER_SUPPORT-0015,customer_support,portal_ticket,en,no,,validation,easy,False,none,1042,10420015
SYN-CUSTOMER_SUPPORT-0016,customer_support,email_ticket,de,no,,train,easy,False,none,1042,10420016
SYN-CUSTOMER_SUPPORT-0017,customer_support,portal_ticket,de,no,,test,easy,False,none,1042,10420017
SYN-CUSTOMER_SUPPORT-0018,customer_support,portal_ticket,de,yes,PERSON;EMAIL_ADDRESS,test,easy,False,none,1042,10420018
SYN-CUSTOMER_SUPPORT-0019,customer_support,portal_ticket,en,no,,validation,easy,False,none,1042,10420019
SYN-CUSTOMER_SUPPORT-0020,customer_support,email_ticket,de,no,,train,easy,False,none,1042,10420020
SYN-CUSTOMER_SUPPORT-0021,customer_support,portal_ticket,de,no,,train,easy,False,none,1042,10420021
SYN-CUSTOMER_SUPPORT-0022,customer_support,portal_ticket,en,yes,EMAIL_ADDRESS,train,easy,False,none,1042,10420022
SYN-CUSTOMER_SUPPORT-0023,customer_support,portal_ticket,de,no,,validation,easy,False,none,1042,10420023
SYN-CUSTOMER_SUPPORT-0024,customer_support,email_ticket,de,yes,IP_ADDRESS,train,easy,False,none,1042,10420024
SYN-CUSTOMER_SUPPORT-0025,customer_support,email_ticket,de,no,,validation,easy,False,none,1042,10420025
SYN-CUSTOMER_SUPPORT-0026,customer_support,portal_ticket,en,no,,train,easy,False,none,1042,10420026
SYN-CUSTOMER_SUPPORT-0027,customer_support,email_ticket,en,yes,PERSON;EMAIL_ADDRESS,train,easy,False,none,1042,10420027
SYN-CUSTOMER_SUPPORT-0028,customer_support,portal_ticket,en,no,,train,easy,False,none,1042,10420028
SYN-CUSTOMER_SUPPORT-0029,customer_support,email_ticket,de,no,,validation,easy,False,none,1042,10420029
