scenario_type,error_type,count
contract,true_negative,212
contract,true_positive,38
customer_support,false_negative,1
customer_support,true_negative,195
customer_support,true_positive,54
employee_record,false_negative,1
employee_record,false_positive,1
employee_record,true_negative,190
employee_record,true_positive,58
expense_report,true_negative,212
expense_report,true_positive,38
general_document,false_positive,1
general_document,true_negative,216
general_document,true_positive,33
incident_report,false_negative,5
incident_report,true_negative,216
incident_report,true_positive,29
internal_email,false_negative,2
internal_email,true_negative,196
internal_email,true_positive,52
invoice,true_negative,201
invoice,true_positive,49
it_access_request,true_negative,214
it_access_request,true_positive,36
medical_record,true_negative,205
medical_record,true_positive,45
meeting_notes,false_negative,4
meeting_notes,true_negative,220
meeting_notes,true_positive,26
passport_record,true_negative,191
passport_record,true_positive,59
supplier_onboarding,false_positive,3
supplier_onboarding,true_negative,192
supplier_onboarding,true_positive,55
training_evaluation,true_negative,205
training_evaluation,true_positive,45
