challenge_category,error_type,count
employee_id,false_negative,4
employee_id,true_negative,5
employee_id,true_positive,1
medical_context,false_negative,2
medical_context,true_positive,5
none,false_negative,4
none,false_positive,59
none,true_negative,356
none,true_positive,17
other_edge_case,false_negative,17
other_edge_case,false_positive,2
other_edge_case,true_negative,12
other_edge_case,true_positive,2
passport_context,false_negative,2
passport_context,true_negative,1
vat_number,false_positive,3
vat_number,true_negative,2
vat_number,true_positive,6
