document_id,file_name,document_type,scenario_type,language,source_system,responsible_owner,owner_email,data_source,file_created_date,last_modified_date,dataset_created_at,file_size_mb,full_text,contains_personal_data,PERSON_yes_no,EMAIL_ADDRESS_yes_no,PHONE_NUMBER_yes_no,LOCATION_yes_no,IBAN_CODE_yes_no,CREDIT_CARD_yes_no,PASSPORT_yes_no,NRP_yes_no,DATE_TIME_yes_no,IP_ADDRESS_yes_no,URL_yes_no,MEDICAL_LICENSE_yes_no,personal_data_categories,primary_pii_type,category_count,pii_count,difficulty,edge_case,challenge_category,retention_period_exceeded_3y,recommended_split,synthetic,synthetic_generator,generation_prompt_version,human_reviewed,review_status,review_notes,dataset_version,labeling_notes,entities,per_type_conf,detected_categories,strong_pii_categories,potential_pii_categories,detected_pii,detected_any_pii,has_person_hint,route,routing_reason,needs_llm_review,llm_provider,llm_model_id,llm_model_name,llm_pii,llm_reason,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_reasoning_tokens,llm_cached_tokens,llm_request_cost,llm_request_success,final_pii,predicted_pii,run_id,strategy,provider,model_family,model_name,prompt_version,prediction_source,_ground_truth_bool,_prediction_bool,error_type,is_correct,evaluated_ground_truth_col,evaluated_prediction_col
SYN-EMPLOYEE_RECORD-0020,synthetic_employee_record_0020.txt,hr_record,employee_record,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Employee Record

Employee: Employee details not provided
Department: IT
Role: Specialist
Employee Id: REF-4324364
Manager: Team Lead
Start Date: 2024-10-16
Address: Registered office information pending
Nationality: Nationality not provided
Contact: Department Contact
Notes: Employee REF-4324364 is scheduled to start on 2024-10-16. Further details regarding registered office information and nationality are pending. Manager is designated as Team Lead. License number REF-1649446 and identification number REF-4568871 are noted for compliance.
License Number: REF-1649446
Identification Number: REF-4568871",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,test,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PHONE_NUMBER', 'value': '1649446', 'confidence': 0.75, 'source': 'presidio', 'start': 474, 'end': 481}, {'type': 'PHONE_NUMBER', 'value': '1649446', 'confidence': 0.75, 'source': 'presidio', 'start': 566, 'end': 573}]",{'PHONE_NUMBER': 0.75},['PHONE_NUMBER'],['PHONE_NUMBER'],[],True,True,True,local_pii,strong_pii_detected,False,openrouter,gpt4o_mini,openai/gpt-4o-mini,False,,0,0,0,0,0,0.0,False,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-GENERAL_DOCUMENT-0246,synthetic_general_document_0246.txt,general_document,general_document,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"**Project Status Update**

**Project Title:** Process Improvement Initiative  
**Date:** July 23, 2027  
**Prepared by:** Corporate Communications Team  

**Current Status:** In Progress  
**Reference Number:** REF-9024463  

**Overview:**  
The Process Improvement Initiative is designed to enhance operational efficiencies across various departments within the organization. This project aims to identify bottlenecks and implement streamlined procedures.

**Key Developments:**  
- A comprehensive analysis of existing workflows has been completed.  
- Initial feedback sessions with department heads have been conducted to gather insights.  
- Proposed changes have been drafted and are currently under review.

**Next Steps:**  
- Finalize proposed adjustments based on feedback received.  
- Schedule training sessions for staff on new processes.  
- Target implementation date is set for August 15, 2027.

**Location for Correspondence:**  
597 Kenneth Pine, Arnoldshire, CT 23745  

Please direct any questions or comments regarding this update to the Corporate Communications Team.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,validation,yes,openrouter_gpt4o_mini_document,llm_rewrite_v1,no,,,v2,Synthetic document generated for controlled PII training data. Relabeled 2026-09-03: standalone LOCATION with no co-occurring identifier does not meet GDPR Art.4(1) identifiability threshold; corrected from positive to negative.,"[{'type': 'DATE_TIME', 'value': 'August 15, 2027', 'confidence': 0.85, 'source': 'presidio', 'start': 894, 'end': 909}, {'type': 'PERSON', 'value': 'Kenneth Pine', 'confidence': 0.85, 'source': 'presidio', 'start': 951, 'end': 963}, {'type': 'LOCATION', 'value': 'Arnoldshire', 'confidence': 0.85, 'source': 'presidio', 'start': 965, 'end': 976}]","{'DATE_TIME': 0.85, 'PERSON': 0.85, 'LOCATION': 0.85}","['DATE_TIME', 'LOCATION', 'PERSON']",[],"['DATE_TIME', 'PERSON', 'LOCATION']",False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,The address provided includes a specific location that can be linked to an identifiable natural person.,474,32,506,0,0,9.03e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0003,synthetic_meeting_notes_0003.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungen aus dem Projektteam-Meeting vom 12. März 2027
Datum: 2027-03-12
Ort: Hauptstandort
Teilnehmer: Projektteam
Kontakt: Abteilungskontakt
Agenda: 1. Projektstatus-Update
2. Nächste Schritte für die Implementierung
3. Ressourcenplanung
4. Offene Fragen und Risiken
Diskussion: Das Projektteam hat den aktuellen Stand der Implementierung besprochen und festgestellt, dass wir im Zeitplan liegen. Es gab jedoch Bedenken hinsichtlich der Verfügbarkeit von Ressourcen in den kommenden Wochen. Die Teammitglieder haben Vorschläge zur Optimierung der Arbeitsabläufe gemacht und mögliche Risiken identifiziert, die die nächsten Schritte beeinflussen könnten. Die Diskussion drehte sich auch um die Notwendigkeit zusätzlicher Schulungen für das Team, um die Effizienz zu steigern.
Entscheidungen: Es wurde beschlossen, dass das Team die Ressourcenplanung bis Ende der Woche abschließen muss. Zudem wurde entschieden, dass eine Schulung für alle Mitarbeiter erforderlich ist, um die Implementierung reibungslos zu gestalten.
Aufgaben: 1. Ressourcenplanung bis zum 17. März 2027 abschließen - Verantwortlicher: Max Müller
2. Schulungstermine festlegen und kommunizieren - Verantwortlicher: Anna Schmidt",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Projektteam-Meeting', 'confidence': 0.85, 'source': 'presidio', 'start': 51, 'end': 70}, {'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 1139, 'end': 1149}, {'type': 'PERSON', 'value': 'Anna Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 1218, 'end': 1230}, {'type': 'DATE_TIME', 'value': '2027-03-12', 'confidence': 0.6, 'source': 'presidio', 'start': 96, 'end': 106}]","{'LOCATION': 0.85, 'PERSON': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION', 'PERSON']",[],"['LOCATION', 'PERSON', 'DATE_TIME']",False,True,True,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains the names 'Max Müller' and 'Anna Schmidt', which are identifiable natural persons.",553,36,589,0,0,0.00010455,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0007,synthetic_meeting_notes_0007.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungsprotokoll vom 03.07.2025
Datum: 2025-07-03
Ort: Betriebsbereich
Teilnehmer: Projektteam
Kontakt: Zentrale Kontaktstelle
Agenda: Besprechung zur Projektfortschritt und strategischen Entscheidungen
Diskussion: Das Projektteam hat die aktuellen Fortschritte des Projekts diskutiert und mögliche Hindernisse identifiziert. Es wurde festgestellt, dass die Fristen für die nächsten Schritte eingehalten werden können, wenn die Ressourcen entsprechend verteilt werden. Zudem wurde das Feedback der Stakeholder erörtert, das positive Rückmeldungen zur bisherigen Umsetzung beinhaltete. Die Notwendigkeit für regelmäßige Updates wurde hervorgehoben, um die Transparenz innerhalb des Teams zu gewährleisten.
Entscheidungen: Das Projektteam hat beschlossen, die Ressourcen für die nächsten zwei Monate um 15% aufzustocken, um die Effizienz zu steigern. Darüber hinaus wurde entschieden, wöchentliche Statusmeetings einzuführen, um den Fortschritt besser zu verfolgen.
Aufgaben: 1. Verantwortlicher: Max Müller, der die Ressourcenverteilung bis zum 10.07.2025 anpassen wird. 2. Verantwortlicher: Anna Schmidt, die die ersten wöchentlichen Statusmeetings ab dem 15.07.2025 organisieren wird.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 1029, 'end': 1039}, {'type': 'PERSON', 'value': 'Anna Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 1125, 'end': 1137}, {'type': 'DATE_TIME', 'value': '10.07.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1078, 'end': 1088}, {'type': 'DATE_TIME', 'value': '15.07.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1190, 'end': 1200}]","{'PERSON': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'PERSON']",[],"['PERSON', 'DATE_TIME']",False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains real names of individuals, Max Müller and Anna Schmidt, which are considered personal data under GDPR.",496,37,533,0,0,9.66e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0016,synthetic_meeting_notes_0016.txt,meeting_notes,meeting_notes,en,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Meeting Notes

Title: IT Department Strategy Meeting - October 2024
Date: 2024-10-03
Location: IT Department
Participants: Working Group
Contact: Department Contact
Agenda: 1. Review current IT projects
2. Discuss upcoming technology implementations
3. Allocate resources for Q4 initiatives
4. Address any outstanding issues
Discussion: The meeting opened with a review of current IT projects, highlighting the progress on the cloud migration initiative. Participants noted that while the project is on schedule, additional resources may be necessary to meet the deadline. The group then shifted focus to upcoming technology implementations, specifically the new cybersecurity measures. Concerns were raised regarding potential disruptions during the rollout. An update on the Q4 initiatives was provided, with discussions on how to best allocate available resources. Finally, outstanding issues, including hardware shortages and software licensing delays, were addressed.
Decisions: It was decided to allocate two additional team members to the cloud migration project to ensure timely completion. Furthermore, the group agreed to implement the new cybersecurity measures in a phased approach to minimize disruptions.
Action Items: 1. John Doe to finalize resource allocation for the cloud migration project by October 10, 2024.
2. Sarah Smith to develop a phased rollout plan for the cybersecurity measures by October 15, 2024.
3. The team to follow up on hardware shortages with suppliers by October 7, 2024.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,validation,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'John Doe', 'confidence': 0.85, 'source': 'presidio', 'start': 1236, 'end': 1244}, {'type': 'DATE_TIME', 'value': 'October 10, 2024', 'confidence': 0.85, 'source': 'presidio', 'start': 1312, 'end': 1328}, {'type': 'PERSON', 'value': 'Sarah Smith', 'confidence': 0.85, 'source': 'presidio', 'start': 1333, 'end': 1344}, {'type': 'DATE_TIME', 'value': 'October 15, 2024', 'confidence': 0.85, 'source': 'presidio', 'start': 1412, 'end': 1428}, {'type': 'DATE_TIME', 'value': 'October 7, 2024', 'confidence': 0.85, 'source': 'presidio', 'start': 1495, 'end': 1510}]","{'PERSON': 0.85, 'DATE_TIME': 0.85}","['DATE_TIME', 'PERSON']",[],"['PERSON', 'DATE_TIME']",False,True,True,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains real names of individuals, specifically 'John Doe' and 'Sarah Smith'.",494,34,528,0,0,9.45e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0018,synthetic_meeting_notes_0018.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungen zur Projektoptimierung
Datum: 2026-05-31
Ort: Betriebsbereich
Teilnehmer: Arbeitsgruppe
Kontakt: Zentrale Kontaktstelle
Agenda: 1. Projektstatusupdate 2. Identifikation von Engpässen 3. Festlegung von Verantwortlichkeiten 4. Nächste Schritte
Diskussion: Die Arbeitsgruppe hat den aktuellen Status des Projekts besprochen und mehrere Engpässe identifiziert, die die Fortschritte behindern. Insbesondere wurden Verzögerungen in der Beschaffung von Materialien und in der Kommunikation zwischen den Teams festgestellt. Es wurde eine offene Diskussion über mögliche Lösungen geführt, um diese Herausforderungen zu bewältigen.
Entscheidungen: Es wurde beschlossen, die Beschaffungsstrategie zu überarbeiten, um Engpässe zu minimieren. Zudem wurde entschieden, wöchentliche Statusmeetings einzuführen, um die Kommunikation zu verbessern.
Aufgaben: 1. Max Müller wird die überarbeitete Beschaffungsstrategie bis zum 15. Juni 2026 vorlegen. 2. Sarah Schmidt wird das erste wöchentliche Statusmeeting am 7. Juni 2026 organisieren und die Agenda dafür festlegen.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,validation,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 888, 'end': 898}, {'type': 'PERSON', 'value': 'Sarah Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 979, 'end': 992}]",{'PERSON': 0.85},['PERSON'],[],['PERSON'],False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains real names of individuals, Max Müller and Sarah Schmidt, which are considered personal data under GDPR.",496,38,534,0,0,9.72e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0028,synthetic_meeting_notes_0028.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungen zur Optimierung der Lagerlogistik
Datum: 2025-03-20
Ort: Lagerbereich
Teilnehmer: Projektteam
Kontakt: Serviceteam
Agenda: 1. Einführung in die aktuellen Herausforderungen
2. Entscheidung über neue Lagerprozesse
3. Zuweisung von Verantwortlichkeiten
4. Festlegung von nächsten Schritten
Diskussion: Im Rahmen des Meetings wurden die aktuellen Herausforderungen in der Lagerlogistik erörtert. Das Projektteam stellte fest, dass die Effizienz der Abläufe in letzter Zeit nachgelassen hat. Es wurden verschiedene Ansätze zur Optimierung der Prozesse diskutiert, jedoch lag der Fokus auf konkreten Entscheidungen und Zuweisungen von Verantwortlichkeiten.
Entscheidungen: Das Projektteam hat beschlossen, die Einführung eines neuen Lagerverwaltungssystems zu priorisieren. Verantwortlichkeiten wurden den Teammitgliedern zugewiesen, um die Implementierung voranzutreiben.
Aufgaben: 1. Max Müller wird die Recherche zu verschiedenen Lagerverwaltungssystemen bis zum 30.03.2025 abschließen.
2. Sarah Schmidt wird einen Vorschlag für die Schulung der Mitarbeiter bis zum 05.04.2025 erstellen.
3. Das Serviceteam wird bis zum 15.04.2025 die notwendige Hardware für das neue System bereitstellen.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 923, 'end': 933}, {'type': 'PERSON', 'value': 'Sarah Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 1030, 'end': 1043}, {'type': 'DATE_TIME', 'value': '30.03.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1003, 'end': 1013}, {'type': 'DATE_TIME', 'value': '05.04.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1106, 'end': 1116}, {'type': 'DATE_TIME', 'value': '15.04.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1160, 'end': 1170}]","{'PERSON': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'PERSON']",[],"['PERSON', 'DATE_TIME']",False,True,True,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains the real names 'Max Müller' and 'Sarah Schmidt', which are identifiable natural persons.",512,37,549,0,0,9.9e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0032,synthetic_meeting_notes_0032.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungsprotokoll der Arbeitsgruppe
Datum: 2024-11-23
Ort: Hauptstandort
Teilnehmer: Arbeitsgruppe
Kontakt: Zentrale Kontaktstelle
Agenda: Besprechung der aktuellen Projekte und Festlegung weiterer Schritte.
Diskussion: Die Arbeitsgruppe hat die Fortschritte der laufenden Projekte besprochen. Besonders wurde das Projekt zur Implementierung des neuen CRM-Systems hervorgehoben. Die Teilnehmer äußerten Bedenken hinsichtlich der Integration mit bestehenden Systemen. Es wurden verschiedene Lösungsansätze diskutiert, um die Herausforderungen zu bewältigen.
Entscheidungen: Die Arbeitsgruppe hat beschlossen, das neue CRM-System bis Ende des nächsten Quartals zu implementieren. Zudem wurde festgelegt, dass regelmäßige Updates zum Fortschritt der Implementierung bereitgestellt werden.
Aufgaben: 1. Max Müller wird die Integration des CRM-Systems mit den bestehenden Systemen prüfen. 2. Sarah Schmidt ist verantwortlich für die Erstellung eines Zeitplans für die Implementierung. 3. Die nächste Besprechung findet am 15. Dezember 2024 statt, um den Fortschritt zu überprüfen.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 832, 'end': 842}, {'type': 'PERSON', 'value': 'Sarah Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 920, 'end': 933}]",{'PERSON': 0.85},['PERSON'],[],['PERSON'],False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains the real names 'Max Müller' and 'Sarah Schmidt', which are identifiable natural persons.",496,37,533,0,0,9.66e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0037,synthetic_meeting_notes_0037.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Entscheidungsprotokoll der Abteilungsvertretungen
Datum: 2026-01-15
Ort: Betriebsbereich
Teilnehmer: Abteilungsvertretungen
Kontakt: Zentrale Kontaktstelle
Agenda: Besprechung zur Klärung wichtiger Entscheidungen und Zuweisung von Verantwortlichkeiten.
Diskussion: In der Sitzung wurden verschiedene Punkte erörtert, darunter die Optimierung der internen Kommunikation und die Implementierung neuer Softwaretools zur Effizienzsteigerung. Es wurde betont, dass die Abteilungsvertretungen aktiv an der Verbesserung der Arbeitsabläufe mitwirken sollten.
Entscheidungen: Die Abteilungsvertretungen haben beschlossen, die regelmäßigen Meetings auf monatlich zu erhöhen, um die Fortschritte besser zu überwachen. Zudem wurde entschieden, Schulungen für das neue Softwaretool bis Ende des ersten Quartals anzubieten.
Aufgaben: 1. Verantwortlichkeiten für die Planung der Schulungen wurden wie folgt zugewiesen: Max Müller übernimmt die Organisation, während Anna Schmidt die Inhalte vorbereitet. 2. Das nächste Meeting findet am 15. Februar 2026 statt.",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'LOCATION', 'value': 'Abteilungsvertretungen', 'confidence': 0.85, 'source': 'presidio', 'start': 55, 'end': 77}, {'type': 'PERSON', 'value': 'Max Müller', 'confidence': 0.85, 'source': 'presidio', 'start': 932, 'end': 942}, {'type': 'PERSON', 'value': 'Anna Schmidt', 'confidence': 0.85, 'source': 'presidio', 'start': 979, 'end': 991}, {'type': 'DATE_TIME', 'value': '2026-01-15', 'confidence': 0.6, 'source': 'presidio', 'start': 85, 'end': 95}]","{'LOCATION': 0.85, 'PERSON': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'LOCATION', 'PERSON']",[],"['LOCATION', 'PERSON', 'DATE_TIME']",False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains real names of individuals, specifically 'Max Müller' and 'Anna Schmidt', which are considered personal data under GDPR.",545,42,587,0,0,0.00010695,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
SYN-MEETING_NOTES-0043,synthetic_meeting_notes_0043.txt,meeting_notes,meeting_notes,de,synthetic_generation,,,synthetic,2026-08-28,2026-08-28,2026-08-28,0,"Besprechungsnotizen

Titel: Wöchentliche Projektbesprechung
Datum: 2025-11-14
Ort: IT-Abteilung
Teilnehmer: Projektteam
Kontakt: Zentrale Kontaktstelle
Agenda: 1. Statusupdates der einzelnen Teammitglieder
2. Diskussion über Herausforderungen
3. Nächste Schritte und Fristen
Diskussion: Wir haben die aktuellen Fortschritte von jedem Teammitglied besprochen:
- Max: Fortschritt bei der Softwareentwicklung, aber es gibt einige Bugs zu beheben.
- Lisa: Datenanalyse abgeschlossen, aber noch keine Rückmeldung vom Marketing.
- Tom: Bereitet die Präsentation für den nächsten Kundenstamm vor.

Herausforderungen:
- Bugs in der Software, die dringend gelöst werden müssen.
- Verzögerungen bei den Daten von externen Partnern.

Nächste Schritte wurden festgelegt und Fristen diskutiert.
Entscheidungen: Es wurde beschlossen, dass:
- Max die Bugs bis Ende nächster Woche beheben soll.
- Lisa den Marketingkontakt nächste Woche direkt anruft.
- Tom die Präsentation bis zum nächsten Treffen fertigstellt.
Aufgaben: 1. Max: Bugs bis 21.11.2025 beheben
2. Lisa: Marketing kontaktieren bis 19.11.2025
3. Tom: Präsentation vorbereiten bis 21.11.2025",no,no,no,no,no,no,no,no,no,no,no,no,no,,NONE,0,0,easy,no,none,no,train,yes,openrouter_gpt4o_mini_field,field_llm_v1,no,,,v2,Synthetic document generated for controlled PII training data.,"[{'type': 'PERSON', 'value': 'Lisa den Marketingkontakt', 'confidence': 0.85, 'source': 'presidio', 'start': 881, 'end': 906}, {'type': 'DATE_TIME', 'value': '21.11.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1025, 'end': 1035}, {'type': 'DATE_TIME', 'value': '19.11.2025', 'confidence': 0.6, 'source': 'presidio', 'start': 1080, 'end': 1090}]","{'PERSON': 0.85, 'DATE_TIME': 0.6}","['DATE_TIME', 'PERSON']",[],"['PERSON', 'DATE_TIME']",False,True,False,low_cost_llm,potential_pii_evidence,True,openrouter,gpt4o_mini,openai/gpt-4o-mini,True,"The text contains identifiable names (Max, Lisa, Tom) associated with specific tasks and deadlines.",517,35,552,0,0,9.855e-05,True,True,True,20260908_231602,rule_plus_gpt4o_mini,openrouter,llm,openai/gpt-4o-mini,pii_review_v1,llm,False,True,false_positive,False,contains_personal_data,predicted_pii
